Year,stat1,stat2,stat3,stat4,stat5,stat6,stat7,stat8,stat9,stat10,stat11,stat12,stat13,stat14,stat15,stat16,stat17,stat18,stat19,stat20,stat21,stat22,stat23
1996,29.2609289617486,30.7675070028011,28.9573770491803,29.7885245901639,30.891884057971,29.072131147541,29.0800546448087,24.2177595628415,28.8877049180328,30.4021857923497,28.9385245901639,28.4991803278689,28.2136612021858,30.0308743169399,31.2306010928962,30.6849726775956,29.161432506887,30.4117486338798,28.979781420765,30.4292349726776,28.7934426229508,30.2636612021858,30.5274834437086
1997,30.9838709677419,30.1221917808219,28.198904109589,28.8879452054794,30.0208219178082,28.275,28.1443835616438,23.0391780821918,27.96,29.7720547945205,28.2791780821918,27.6583561643836,27.1821428571429,29.0412742382271,30.7418732782369,30.2320547945205,28.3167857142857,30.014010989011,27.9043835616438,29.7716923076923,28.0066115702479,29.2816155988858,29.1238596491228
1998,29.2268493150685,31.2637362637363,28.8635359116022,29.7621917808219,30.7616246498599,29.3164670658683,29.3309192200557,24.6777777777778,28.7887671232877,30.8741758241758,29.2216438356164,28.3407514450867,27.9175342465753,29.8246575342466,32.3997260273973,30.3408219178082,29.2122093023256,30.6723287671233,28.4230769230769,31.100283286119,28.4945205479452,29.6324929971989,30.7514851485149
1999,29.2553424657534,30.3904109589041,28.5557851239669,29.4529085872576,29.8920547945206,29.9203703703704,29.5969230769231,23.9966049382716,28.9857534246575,29.8867768595041,29.1219178082192,28.2380821917808,29.7985915492958,29.5038356164384,31.0448753462604,30.6290410958904,29.1664835164835,30.6272727272727,29.3903225806452,30.0257383966245,28.4236914600551,29.5436823104693,29.8597597597598
2000,29.3579831932773,30.6363387978142,28.7235795454545,29.4939890710382,29.9926229508197,NaN,NaN,24.7926829268293,29.324043715847,29.9357923497268,29.1666666666667,28.5073770491803,26.05,29.80956284153,30.8634285714286,30.8058333333333,29.5947368421053,NaN,29.758064516129,NaN,28.5306010928962,NaN,30.0526627218935
2001,29.2011049723757,30.9449152542373,28.7980662983425,29.9049315068493,30.0243835616438,28.4322448979592,NaN,24.0502762430939,29.4364383561644,30.0978082191781,29.352602739726,28.6864406779661,27.7203296703297,30.0670422535211,31.1106060606061,30.8690607734807,29.4962962962963,30.5967741935484,29.7134246575343,NaN,28.3152694610779,29.53,29.8732522796353
2002,29.0674351585014,30.7205479452055,28.8738709677419,29.4594520547945,30.3090410958904,29.3068862275449,27.6467391304348,24.2473214285714,29.1649171270718,30.1487671232877,29.012602739726,28.3206214689266,27.8559228650138,29.8527377521614,31.4809667673716,31.2561643835616,29.2089552238806,29.8659340659341,29.1446107784431,31.0804597701149,28.0064425770308,30.8066666666667,30.2704022988506
2003,28.5002941176471,30.9770718232044,27.9902097902098,29.1315068493151,30.0202739726027,28.8934131736527,28.3021538461538,23.8112044817927,28.994794520548,30.0928767123288,28.6657534246575,28.0573816155989,27.7398891966759,29.6468493150685,31.2706422018349,30.9328767123288,28.8432748538012,29.5180952380952,29.2085399449036,30.4358208955224,27.8176300578035,30.4418960244648,30.0779069767442
2004,28.1436363636364,31.0863387978142,28.6306010928962,29.1827868852459,30.0915300546448,29.1933884297521,28.2046448087432,23.8991758241758,29.1188571428571,30.083606557377,28.5491803278688,28.1379781420765,27.5700280112045,29.9185792349727,31.150447761194,30.8918032786885,28.7978021978022,29.9106557377049,29.2148351648352,30.5915300546448,28.0244505494505,30.2445355191257,29.7343108504399
2005,29.035261707989,31.2578082191781,28.526301369863,29.5687671232877,30.2167123287671,29.1778393351801,28.9238356164384,24.1793871866295,29.318904109589,30.2249315068493,28.7906849315069,28.4457534246575,28.0630136986301,30.0942465753425,31.4980821917808,30.8287749287749,29.1025495750708,30.0841095890411,29.1013698630137,30.5290410958904,28.1753424657534,30.5216438356164,30.2620253164557
